lat,long,name,siteID,region,painters,paintings
42.63459,-73.749496,Albany From the East side of the Hudson River,Albany,north,Thomas Cole,"viewOfAlbany_Cole.jpg,viewOfAlbany_irl.jpg"
42.223621,-73.887604,Catskill Creek,Catskill_Creek,north,"Thomas Cole, Frederic Edwin Church","viewOnTheCatskill_Cole.jpg,sceneOnTheCatskillCreek_Church.jpg,catskillCreek_Cole.jpg,onCatskillCreekAtSunset_Cole.jpg"
42.194729,-74.034744,Catskill Mountain House,Catskill_Mountain_House,north,"Thomas Cole, Frederic Edwin Church, Sarah Cole, Jasper Francis Cropsey","catskillMtnHouse1_Church.jpg,catskillMtnHouse2_Church.jpg,catskillMtnHouse3_Church.jpg,theHandsOfGlaciers_Cole.jpg"
41.76814,-74.15532,Eagle Cliff near Artist's Rock,Eagle_Cliff,mid,"Thomas Worthington Whittredge, Sanford Robinson Gifford","eaglesCliff_Whittredge.jpg,eaglesCliff_irl.jpg"
41.181519,-73.893356,Hudson River from Croton Point Park,Hudson_River_from_Croton,south,Sanford Robinson Gifford,"crotonPointPark1_Gifford.jpg,crotonPointPark2_Gifford.jpg"
41.922038,-73.980442,Hudson River From Hasbrouk Park in Kingston,Hudson_River_From_Hasbrouk,mid,Joseph Tubby,hasbroukPark_Tubby.jpg
41.795673,-73.943329,Hudson River from Vanderbilt Mansion,Hudson_River_from_Vanderbilt,mid,Johann Hermann Carmiencke,"vanderbilt_Carmiencke.jpg,vanderbilt_irl.jpg"
42.224528,-73.854861,Hudson River Skywalk,Hudson_River_Skywalk,north,"Thomas Cole, Frederic Edwin Church","hudsonRiverSkywalk1.jpg,cloudsFromOlana_Church.jpg"
40.992691,-73.881813,Jasper Cropsey Home and Studio,Jasper_Cropsey,south,Jasper Francis Cropsey,"hudsonFromCropseyHome_Cropsey.jpg,hudsonFromCropseyHome2_Cropsey.jpg"
42.184711,-74.074028,Kaaterskill Clove,Kaaterskill_Clove,north,"Thomas Cole, Asher B. Durand, Harriet Cany Peale","topOfKaaterskill_Cole.png,topOfKaaterskill2_Cole.jpg,topOfKaaterskill_Durand.jpg,Asher_Durand_Kindred_Spirits.jpg,Kaaterskill_Clove_by_Harriet_Cany_Peale_1858.jpg,kaaterskillClove_irl.jpg"
42.19584,-74.063,Kaaterskill Falls,Kaaterskill_Falls,north,"Thomas Cole, Frederic Edwin Church, Sanford Robinson Gifford","kaaterskillFalls_Cole.jpg,kaaterskill-falls-1826_Cole,kaaterskill-falls3.jpg,kaaterskill-falls4.jpg,kaaterskill-falls_irl.jpg"
41.76814,-74.15532,Mohonk Lake,Mohonk_Lake,mid,Thomas Cole,"THOMAS-COLE-LAKE-MOHONK.jpg,lakeMohonk_Cole.jpg,lakeMohonk_irl.jpg,lakeMohonk2_Cole.jpg"
42.256215,-73.797097,Mount Merino and the Catskills,Mount_Merino_and_the_Catskills,north,Sanford Robinson Gifford,"south_bay_hudson_Gifford.jpg,south_bay_hudson_irl.jpg"
42.200039,-74.041588,North-South Lake,North_South_Lake,north,"Thomas Cole, Jasper Francis Cropsey","lake-with-dead-trees-catskill-1825_Cole.jpg,north_south_lake.jpg,north_south_lake_irl.jpg"
42.217251,-73.827202,Olana State Historic Site,Olana_State_Historic_Site,north,Frederic Edwin Church,"Catskill-Mountains_FromOlana1_Church.jpg,olana_pano.jpg,olana_sketch_Church.jpg,olana_mansion.jpg"
42.133094,-74.085437,Platte Clove,Platte_Clove,north,"Asher B. Durand, Thomas Cole","platte_clove.jpg,a-sycamore-tree-plaaterkill-cove-asher-brown-durand.jpg"
41.76419,-74.15637,Shawangunk Mountains from Sky Top,Shawangunk_Mountains,mid,"Thomas Worthington Whittredge, Sanford Robinson Gifford","shawangunks_Gifford.jpg,gunks_irl.jpg"
41.50475,-73.98594,Storm King from Long Dock Park,Storm_King,south,Thomas Cole,"cole_storm_king.jpg,cole_storm_king2.jpg,storm_king_irl.jpg"
42.205063,-74.030685,Sunset Rock,Sunset_Rock,north,"Thomas Cole, Jasper Francis Cropsey","sunsetRock_Cole.jpg,sunsetRock2.jpg,sunsetRock_irl.jpg"
42.22559,-73.861145,Thomas Cole National Historic Site,Thomas_Cole_National_Historic_Site,north,"Thomas Cole, Frederic Edwin Church, Charles Herbert Moore","cole_mainHouse.jpg,cole_mainHouse_irl.jpg"
